Metric,Value
Period,2015-05-04 to 2025-11-28
Trading Days,2572
,
Strategy Performance,
Total Return,62.41%
Annualized Return,4.67%
Annualized Volatility,19.35%
Sharpe Ratio*,0.14
Max Drawdown,-33.70%
Calmar Ratio,0.14
Win Rate (Daily),22.13%
,
Benchmark Performance,
Ann. Return,-1.78%
Ann. Volatility,24.92%
,
Excess Performance (Alpha),
Alpha (Ann.),6.45%
Tracking Error,18.44%
Information Ratio**,0.35
Excess Max Drawdown,-42.06%
Excess Win Rate,51.77%
Excess Calmar,0.15
,
Trading,
Total Trades,176
,
* Sharpe = (Ann.Return - Rf) / Vol,Rf = 2.0%
** IR = Alpha / Tracking Error,
