trade_date,ts_code,direction,volume,price,amount,commission,realized_pnl,reason
2015-06-08,IC1506.CFE,BUY,4,10840.0,8672000.0,1994.5600000000002,0.0,STRATEGY
2015-06-16,IC1506.CFE,SELL,4,11238.0,8990400.0,2067.792,318400.0,STRATEGY
2015-06-16,IC1507.CFE,BUY,4,11172.0,8937600.0,2055.648,0.0,STRATEGY
2015-06-19,IC1507.CFE,SELL,4,10535.0,8428000.0,1938.44,-509600.0,STRATEGY
2015-06-24,IC1507.CFE,BUY,4,9888.0,7910400.0,1819.392,0.0,STRATEGY
2015-06-26,IC1507.CFE,BUY,1,9380.0,1876000.0,431.48,0.0,STRATEGY
2015-06-29,IC1507.CFE,SELL,1,8788.0,1757600.0,404.248,-199679.99999999994,STRATEGY
2015-06-30,IC1507.CFE,BUY,1,7768.0,1553600.0,357.32800000000003,0.0,STRATEGY
2015-07-03,IC1507.CFE,SELL,5,7718.0,7718000.0,1775.14,-1664719.9999999993,STRATEGY
2015-07-08,IC1507.CFE,BUY,6,6202.0,7442400.0,1711.752,0.0,STRATEGY
2015-07-14,IC1507.CFE,SELL,6,7749.0,9298800.0,2138.724,1856400.0,STRATEGY
2015-07-14,IC1508.CFE,BUY,6,7598.0,9117600.0,2097.0480000000002,0.0,STRATEGY
2015-08-18,IC1508.CFE,SELL,6,8689.0,10426800.0,2398.164,1309200.0,STRATEGY
2015-08-18,IC1509.CFE,BUY,6,8383.0,10059600.0,2313.708,0.0,STRATEGY
2015-08-25,IC1509.CFE,BUY,1,6249.0,1249800.0,287.454,0.0,STRATEGY
2015-08-26,IC1509.CFE,SELL,1,5869.0,1173800.0,269.974,-441828.57142857136,STRATEGY
2015-09-02,IC1509.CFE,BUY,1,5277.4,1055480.0,242.7604,0.0,STRATEGY
2015-09-07,IC1509.CFE,SELL,1,5650.0,1130000.0,259.90000000000003,-405607.3469387757,STRATEGY
2015-09-15,IC1509.CFE,SELL,6,5749.6,6899520.000000001,1586.8896000000002,-2314124.0816326537,STRATEGY
2015-09-15,IC1510.CFE,BUY,7,5450.0,7630000.0,1754.9,0.0,STRATEGY
2015-10-08,IC1510.CFE,SELL,1,6220.0,1244000.0,286.12,154000.0,STRATEGY
2015-10-09,IC1510.CFE,BUY,1,6230.0,1246000.0,286.58,0.0,STRATEGY
2015-10-13,IC1510.CFE,SELL,7,6613.0,9258200.0,2129.386,1472199.9999999998,STRATEGY
2015-10-13,IC1511.CFE,BUY,7,6488.0,9083200.0,2089.136,0.0,STRATEGY
2015-11-17,IC1511.CFE,SELL,7,7660.0,10724000.0,2466.52,1640800.0,STRATEGY
2015-11-17,IC1512.CFE,BUY,7,7382.0,10334800.0,2377.004,0.0,STRATEGY
2015-12-15,IC1512.CFE,SELL,7,7403.0,10364200.0,2383.766,29400.0,STRATEGY
2015-12-15,IC1601.CFE,BUY,7,7160.2,10024280.0,2305.5844,0.0,STRATEGY
2016-01-05,IC1601.CFE,BUY,1,6650.0,1330000.0,305.90000000000003,0.0,STRATEGY
2016-01-06,IC1601.CFE,SELL,1,6749.0,1349800.0,310.454,-69485.00000000003,STRATEGY
2016-01-08,IC1601.CFE,BUY,1,6520.0,1304000.0,299.92,0.0,STRATEGY
2016-01-12,IC1601.CFE,SELL,8,6040.2,9664320.0,2222.7936,-1574675.0,STRATEGY
2016-01-12,IC1602.CFE,BUY,8,5800.0,9280000.0,2134.4,0.0,STRATEGY
2016-02-15,IC1602.CFE,SELL,8,5531.8,8850880.0,2035.7024000000001,-429119.9999999997,STRATEGY
2016-02-22,IC1603.CFE,BUY,7,5815.2,8141280.0,1872.4944,0.0,STRATEGY
2016-03-01,IC1603.CFE,BUY,1,5075.6,1015120.0000000001,233.47760000000002,0.0,STRATEGY
2016-03-02,IC1603.CFE,SELL,1,5260.2,1052040.0,241.9692,-92510.00000000003,STRATEGY
2016-03-08,IC1603.CFE,BUY,1,5511.0,1102200.0,253.506,0.0,STRATEGY
2016-03-10,IC1603.CFE,SELL,1,5548.0,1109600.0,255.208,-29656.25,STRATEGY
2016-03-11,IC1603.CFE,BUY,1,5351.0,1070200.0,246.14600000000002,0.0,STRATEGY
2016-03-14,IC1603.CFE,SELL,1,5560.0,1112000.0,255.76000000000002,-18624.21875,STRATEGY
2016-03-15,IC1603.CFE,SELL,7,5627.0,7877800.0,1811.894,-36569.53125,STRATEGY
2016-03-15,IC1604.CFE,BUY,8,5421.6,8674560.0,1995.1488000000002,0.0,STRATEGY
2016-04-12,IC1604.CFE,SELL,8,6230.0,9968000.0,2292.64,1293439.9999999995,STRATEGY
2016-04-12,IC1605.CFE,BUY,8,6075.2,9720320.0,2235.6736,0.0,STRATEGY
2016-05-17,IC1605.CFE,SELL,8,5784.2,9254720.0,2128.5856,-465600.0,STRATEGY
2016-05-17,IC1606.CFE,BUY,8,5605.8,8969280.0,2062.9344,0.0,STRATEGY
2016-06-14,IC1606.CFE,SELL,8,5740.0,9184000.0,2112.32,214719.9999999997,STRATEGY
2016-06-14,IC1607.CFE,BUY,9,5601.0,10081800.0,2318.814,0.0,STRATEGY
2016-06-15,IC1607.CFE,SELL,1,5580.0,1116000.0,256.68,-4200.0,STRATEGY
2016-07-12,IC1607.CFE,SELL,8,6261.2,10017920.0,2304.1216,1056319.9999999998,STRATEGY
2016-07-12,IC1608.CFE,BUY,8,6171.6,9874560.0,2271.1488,0.0,STRATEGY
2016-08-16,IC1608.CFE,SELL,8,6425.0,10280000.0,2364.4,405439.9999999994,STRATEGY
2016-08-16,IC1609.CFE,BUY,8,6380.0,10208000.0,2347.84,0.0,STRATEGY
2016-08-25,IC1609.CFE,BUY,1,6279.8,1255960.0,288.87080000000003,0.0,STRATEGY
2016-08-26,IC1609.CFE,SELL,1,6305.8,1261160.0,290.0668,-12613.333333333321,STRATEGY
2016-09-02,IC1609.CFE,BUY,1,6273.2,1254640.0,288.5672,0.0,STRATEGY
2016-09-05,IC1609.CFE,SELL,1,6302.6,1260520.0,289.9196,-11127.407407407372,STRATEGY
2016-09-12,IC1609.CFE,SELL,8,6340.0,10144000.0,2333.12,-29179.25925925956,STRATEGY
2016-09-12,IC1610.CFE,BUY,9,6203.0,11165400.0,2568.042,0.0,STRATEGY
2016-10-18,IC1610.CFE,SELL,9,6419.4,11554920.0,2657.6316,389519.99999999936,STRATEGY
2016-10-18,IC1611.CFE,BUY,9,6324.4,11383920.0,2618.3016000000002,0.0,STRATEGY
2016-11-15,IC1611.CFE,SELL,9,6580.0,11844000.0,2724.12,460080.00000000064,STRATEGY
2016-11-15,IC1612.CFE,BUY,9,6532.8,11759040.0,2704.5792,0.0,STRATEGY
2016-12-13,IC1612.CFE,SELL,9,6188.6,11139480.0,2562.0804000000003,-619559.9999999997,STRATEGY
2016-12-13,IC1701.CFE,BUY,9,6080.4,10944720.0,2517.2856,0.0,STRATEGY
2017-01-17,IC1701.CFE,SELL,9,5998.0,10796400.0,2483.172,-148319.99999999936,STRATEGY
2017-01-17,IC1702.CFE,BUY,9,5921.0,10657800.0,2451.294,0.0,STRATEGY
2017-02-14,IC1702.CFE,SELL,9,6338.8,11409840.0,2624.2632,752040.0000000003,STRATEGY
2017-02-14,IC1703.CFE,BUY,9,6252.6,11254680.0,2588.5764,0.0,STRATEGY
2017-03-14,IC1703.CFE,SELL,9,6487.2,11676960.0,2685.7008,422279.999999999,STRATEGY
2017-03-14,IC1704.CFE,BUY,9,6394.4,11509920.0,2647.2816000000003,0.0,STRATEGY
2017-04-18,IC1704.CFE,SELL,9,6455.0,11619000.0,2672.37,109080.00000000065,STRATEGY
2017-04-18,IC1705.CFE,BUY,9,6401.0,11521800.0,2650.014,0.0,STRATEGY
2017-05-08,IC1705.CFE,BUY,1,6050.2,1210040.0,278.30920000000003,0.0,STRATEGY
2017-05-10,IC1705.CFE,SELL,1,5993.2,1198640.0,275.6872,-74544.00000000006,STRATEGY
2017-05-11,IC1705.CFE,BUY,1,5826.0,1165200.0,267.996,0.0,STRATEGY
2017-05-12,IC1705.CFE,SELL,1,5834.0,1166800.0,268.36400000000003,-95585.59999999998,STRATEGY
2017-05-16,IC1705.CFE,SELL,9,5865.0,10557000.0,2428.11,-804470.3999999998,STRATEGY
2017-05-16,IC1706.CFE,BUY,10,5819.8,11639600.0,2677.108,0.0,STRATEGY
2017-05-31,IC1706.CFE,SELL,1,5891.0,1178200.0,270.986,14239.999999999964,STRATEGY
2017-06-01,IC1706.CFE,BUY,1,5748.0,1149600.0,264.408,0.0,STRATEGY
2017-06-13,IC1706.CFE,SELL,10,5882.2,11764400.0,2705.812,139159.99999999802,STRATEGY
2017-06-13,IC1707.CFE,BUY,10,5840.2,11680400.0,2686.492,0.0,STRATEGY
2017-07-18,IC1707.CFE,SELL,10,5825.0,11650000.0,2679.5,-30399.999999999636,STRATEGY
2017-07-18,IC1708.CFE,BUY,10,5820.0,11640000.0,2677.2000000000003,0.0,STRATEGY
2017-08-15,IC1708.CFE,SELL,10,6283.2,12566400.0,2890.272,926399.9999999997,STRATEGY
2017-08-15,IC1709.CFE,BUY,10,6237.8,12475600.0,2869.388,0.0,STRATEGY
2017-09-12,IC1709.CFE,SELL,10,6671.2,13342400.0,3068.752,866799.9999999993,STRATEGY
2017-09-12,IC1710.CFE,BUY,10,6622.0,13244000.0,3046.12,0.0,STRATEGY
